"H","L0601","032","645220","Produce","f06ea32e-1bb5-44f5-ae2a-7f7b7b697bef-dbmgv2","C",,,,,,,,,,,,,,,,,,,,,
"F","SUPC","Case Qty","Split Qty","Code","Item Status","Replaced Item","Pack","Size","Unit","Brand","Mfr #","Desc","Cat","Case $","Split $","Per Lb","Market","Splittable","Splits","Min Split","Net Wt","Lead Time","Stock","Substitute","Agr",,
"P","7630551",,,,,,"4","5 LB","LB","IMPERIAL FRESH","","Cabbage Greens Shredded With Bag","Produce",32.94,9.89,"N",,true,,1,20,,"STOCKED",,"N",,
"P","3865896",,,,,,"4","1 GAL","GAL","SYSCO NATURAL","7591","Juice Orange Pasteurized Ultra Premium","Produce",50.39,,"N",,false,,0,36,,"STOCKED",,"N",,
"P","6232375",,,,,,"4","5 LB","LB","IMPERIAL FRESH","40570","Lettuce Salad Mix Separated Fresh","Produce",27.99,8.59,"N",,true,,1,20,,"STOCKED",,"N",,
"P","6894125",,,,,,"1","25 LB","LB","IMPERIAL FRESH","","Tomato Roma Fresh","Produce",30.25,,"N",,false,,0,25,,"STOCKED",,"N",,
"P","5209358",,,,,,"1","10 LB","LB","IMPERIAL FRESH","","Tomatillo Fresh","Produce",16.99,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","1061670",,,,,,"14","1 LB","LB","PACKER","","Radish Red Cello Pack Fresh","Produce",43.85,,"N",,false,,0,14,,"STOCKED",,"N",,
"P","1094721",,,,,,"1","50 LB","LB","IMPERIAL FRESH","","Onion Yellow Jumbo Bag","Produce",25.59,,"N",,false,,0,50,,"STOCKED",,"N",,
"P","1094663",,,,,,"1","25 LB","LB","IMPERIAL FRESH","00074865168038","Onion Red Jumbo Bag","Produce",24.95,,"N",,false,,0,25,,"STOCKED",,"N",,
"P","7677673",,,,,,"1","50LB","LB","PACKER","","Onions White Jumbo Carton","Produce",34.29,,"N",,false,,0,50,,"DEMAND",,"N",,
"P","1029354",,,,,,"1","60 CT","CT","PROPACK","P1029354","Avocado Hass Breaking Fresh","Produce",74.85,,"N",,false,,0,20,,"STOCKED",,"N",,
"P","9903289",,,,,,"1","60 CT","CT","IMPERIAL FRESH","","Cilantro Fresh Iceless","Produce",45.95,,"N",,false,,0,16,,"STOCKED",,"N",,
"P","7078475",,,,,,"1","30 CT","CT","IMPERIAL FRESH","7078475","Cilantro Bunch Iceless","Produce",25.75,,"N",,false,,0,8,,"STOCKED",,"N",,
"P","1824028",,,,,,"1","10 LB","LB","PACKER","","Cactus Leaves Loose Fresh","Produce",28.38,,"N",,false,,0,10,,"DEMAND",,"N",,
"P","1048313",,,,,,"1","40 LB","LB","PROPACK","4048","Limes Fresh 200 Count","Produce",68.89,,"N",,false,,0,40,,"STOCKED",,"N",,
"P","6915979",,,,,,"1","48 CT","CT","PROPACK","","Corn Cob Sweet Bicolor Fresh","Produce",33.95,,"N",,false,,0,44,,"STOCKED",,"N",,
"P","1675610",,,,,,"4","6 CT","CT","SYSCO/FRESHPOINT NATURAL","","Lettuce Iceberg Trimmed Fresh","Produce",38.95,11.85,"N",,true,,1,36,,"STOCKED",,"N",,
"P","9729153",,,,,,"12","1 LB","LB","PACKER","","Corn Husk Dry","Canned & Dry",87.39,,"N",,false,,0,12,,"DEMAND",,"N",,
"P","1184977",,,,,,"1","5#","LB","IMPERIAL FRESH","","Carrots Fresh Jumbo","Produce",14.69,,"N",,false,,0,5.4,,"STOCKED",,"N",,
"P","4744772",,,,"Phased Out",,"1","40 LB",,"PACKER","","Lime Fresh 200 Count To 230 Count #2","Produce",53.06,,"N",,false,,0,40,,"NONSTOCK",,"N",,
"P","1763440",,,,,,"1","25 LB","LB","IMPERIAL FRESH","","Tomato Bulk Packed 6x6 Fresh","Produce",35.85,,"N",,false,,0,25,,"STOCKED",,"N",,
"P","4935623",,,,,,"1","25 LB","LB","RELIANCE FRESH","","Tomato Bulk Utility Fresh","Produce",25.95,,"N",,false,,0,25,,"STOCKED",,"N",,